Date,ASX200,CPI,CashRate,Unemployment,GDP_real
1948-09-30,,3.7,,,
1948-10-31,,3.7,,,
1948-11-30,,3.7,,,
1948-12-31,,3.8,,,
1949-01-31,,3.8,,,
1949-02-28,,3.8,,,
1949-03-31,,3.9,,,
1949-04-30,,3.9,,,
1949-05-31,,3.9,,,
1949-06-30,,4.0,,,
1949-07-31,,4.0,,,
1949-08-31,,4.0,,,
1949-09-30,,4.1,,,
1949-10-31,,4.1,,,
1949-11-30,,4.1,,,
1949-12-31,,4.1,,,
1950-01-31,,4.1,,,
1950-02-28,,4.1,,,
1950-03-31,,4.2,,,
1950-04-30,,4.2,,,
1950-05-31,,4.2,,,
1950-06-30,,4.3,,,
1950-07-31,,4.3,,,
1950-08-31,,4.3,,,
1950-09-30,,4.4,,,
1950-10-31,,4.4,,,
1950-11-30,,4.4,,,
1950-12-31,,4.6,,,
1951-01-31,,4.6,,,
1951-02-28,,4.6,,,
1951-03-31,,4.8,,,
1951-04-30,,4.8,,,
1951-05-31,,4.8,,,
1951-06-30,,5.1,,,
1951-07-31,,5.1,,,
1951-08-31,,5.1,,,
1951-09-30,,5.3,,,
1951-10-31,,5.3,,,
1951-11-30,,5.3,,,
1951-12-31,,5.7,,,
1952-01-31,,5.7,,,
1952-02-29,,5.7,,,
1952-03-31,,5.9,,,
1952-04-30,,5.9,,,
1952-05-31,,5.9,,,
1952-06-30,,6.1,,,
1952-07-31,,6.1,,,
1952-08-31,,6.1,,,
1952-09-30,,6.2,,,
1952-10-31,,6.2,,,
1952-11-30,,6.2,,,
1952-12-31,,6.3,,,
1953-01-31,,6.3,,,
1953-02-28,,6.3,,,
1953-03-31,,6.3,,,
1953-04-30,,6.3,,,
1953-05-31,,6.3,,,
1953-06-30,,6.4,,,
1953-07-31,,6.4,,,
1953-08-31,,6.4,,,
1953-09-30,,6.5,,,
1953-10-31,,6.5,,,
1953-11-30,,6.5,,,
1953-12-31,,6.4,,,
1954-01-31,,6.4,,,
1954-02-28,,6.4,,,
1954-03-31,,6.5,,,
1954-04-30,,6.5,,,
1954-05-31,,6.5,,,
1954-06-30,,6.5,,,
1954-07-31,,6.5,,,
1954-08-31,,6.5,,,
1954-09-30,,6.5,,,
1954-10-31,,6.5,,,
1954-11-30,,6.5,,,
1954-12-31,,6.5,,,
1955-01-31,,6.5,,,
1955-02-28,,6.5,,,
1955-03-31,,6.5,,,
1955-04-30,,6.5,,,
1955-05-31,,6.5,,,
1955-06-30,,6.6,,,
1955-07-31,,6.6,,,
1955-08-31,,6.6,,,
1955-09-30,,6.6,,,
1955-10-31,,6.6,,,
1955-11-30,,6.6,,,
1955-12-31,,6.7,,,
1956-01-31,,6.7,,,
1956-02-29,,6.7,,,
1956-03-31,,6.7,,,
1956-04-30,,6.7,,,
1956-05-31,,6.7,,,
1956-06-30,,7.0,,,
1956-07-31,,7.0,,,
1956-08-31,,7.0,,,
1956-09-30,,7.1,,,
1956-10-31,,7.1,,,
1956-11-30,,7.1,,,
1956-12-31,,7.1,,,
1957-01-31,,7.1,,,
1957-02-28,,7.1,,,
1957-03-31,,7.1,,,
1957-04-30,,7.1,,,
1957-05-31,,7.1,,,
1957-06-30,,7.2,,,
1957-07-31,,7.2,,,
1957-08-31,,7.2,,,
1957-09-30,,7.2,,,
1957-10-31,,7.2,,,
1957-11-30,,7.2,,,
1957-12-31,,7.2,,,
1958-01-31,,7.2,,,
1958-02-28,,7.2,,,
1958-03-31,,7.2,,,
1958-04-30,,7.2,,,
1958-05-31,,7.2,,,
1958-06-30,,7.2,,,
1958-07-31,,7.2,,,
1958-08-31,,7.2,,,
1958-09-30,,7.2,,,
1958-10-31,,7.2,,,
1958-11-30,,7.2,,,
1958-12-31,,7.3,,,
1959-01-31,,7.3,,,
1959-02-28,,7.3,,,
1959-03-31,,7.3,,,
1959-04-30,,7.3,,,
1959-05-31,,7.3,,,
1959-06-30,,7.3,,,
1959-07-31,,7.3,,,
1959-08-31,,7.3,,,
1959-09-30,,7.4,,,78511.0
1959-10-31,,7.4,,,78511.0
1959-11-30,,7.4,,,78511.0
1959-12-31,,7.5,,,79357.0
1960-01-31,,7.5,,,79357.0
1960-02-29,,7.5,,,79357.0
1960-03-31,,7.5,,,80383.0
1960-04-30,,7.5,,,80383.0
1960-05-31,,7.5,,,80383.0
1960-06-30,,7.6,,,81436.0
1960-07-31,,7.6,,,81436.0
1960-08-31,,7.6,,,81436.0
1960-09-30,,7.7,,,82155.0
1960-10-31,,7.7,,,82155.0
1960-11-30,,7.7,,,82155.0
1960-12-31,,7.8,,,82304.0
1961-01-31,,7.8,,,82304.0
1961-02-28,,7.8,,,82304.0
1961-03-31,,7.8,,,81890.0
1961-04-30,,7.8,,,81890.0
1961-05-31,,7.8,,,81890.0
1961-06-30,,7.9,,,81319.0
1961-07-31,,7.9,,,81319.0
1961-08-31,,7.9,,,81319.0
1961-09-30,,7.8,,,81146.0
1961-10-31,,7.8,,,81146.0
1961-11-30,,7.8,,,81146.0
1961-12-31,,7.8,,,82013.0
1962-01-31,,7.8,,,82013.0
1962-02-28,,7.8,,,82013.0
1962-03-31,,7.8,,,83669.0
1962-04-30,,7.8,,,83669.0
1962-05-31,,7.8,,,83669.0
1962-06-30,,7.8,,,85268.0
1962-07-31,,7.8,,,85268.0
1962-08-31,,7.8,,,85268.0
1962-09-30,,7.8,,,86748.0
1962-10-31,,7.8,,,86748.0
1962-11-30,,7.8,,,86748.0
1962-12-31,,7.8,,,87866.0
1963-01-31,,7.8,,,87866.0
1963-02-28,,7.8,,,87866.0
1963-03-31,,7.8,,,88863.0
1963-04-30,,7.8,,,88863.0
1963-05-31,,7.8,,,88863.0
1963-06-30,,7.8,,,90226.0
1963-07-31,,7.8,,,90226.0
1963-08-31,,7.8,,,90226.0
1963-09-30,,7.9,,,91848.0
1963-10-31,,7.9,,,91848.0
1963-11-30,,7.9,,,91848.0
1963-12-31,,7.9,,,93598.0
1964-01-31,,7.9,,,93598.0
1964-02-29,,7.9,,,93598.0
1964-03-31,,8.0,,,94951.0
1964-04-30,,8.0,,,94951.0
1964-05-31,,8.0,,,94951.0
1964-06-30,,8.0,,,96055.0
1964-07-31,,8.0,,,96055.0
1964-08-31,,8.0,,,96055.0
1964-09-30,,8.1,,,97626.0
1964-10-31,,8.1,,,97626.0
1964-11-30,,8.1,,,97626.0
1964-12-31,,8.2,,,99444.0
1965-01-31,,8.2,,,99444.0
1965-02-28,,8.2,,,99444.0
1965-03-31,,8.2,,,100932.0
1965-04-30,,8.2,,,100932.0
1965-05-31,,8.2,,,100932.0
1965-06-30,,8.3,,,101901.0
1965-07-31,,8.3,,,101901.0
1965-08-31,,8.3,,,101901.0
1965-09-30,,8.4,,,102101.0
1965-10-31,,8.4,,,102101.0
1965-11-30,,8.4,,,102101.0
1965-12-31,,8.5,,,101981.0
1966-01-31,,8.5,,,101981.0
1966-02-28,,8.5,,,101981.0
1966-03-31,,8.6,,,102361.0
1966-04-30,,8.6,,,102361.0
1966-05-31,,8.6,,,102361.0
1966-06-30,,8.6,,,103533.0
1966-07-31,,8.6,,,103533.0
1966-08-31,,8.6,,,103533.0
1966-09-30,,8.6,,,105575.0
1966-10-31,,8.6,,,105575.0
1966-11-30,,8.6,,,105575.0
1966-12-31,,8.7,,,107916.0
1967-01-31,,8.7,,,107916.0
1967-02-28,,8.7,,,107916.0
1967-03-31,,8.8,,,109955.0
1967-04-30,,8.8,,,109955.0
1967-05-31,,8.8,,,109955.0
1967-06-30,,8.9,,,111717.0
1967-07-31,,8.9,,,111717.0
1967-08-31,,8.9,,,111717.0
1967-09-30,,9.0,,,112706.0
1967-10-31,,9.0,,,112706.0
1967-11-30,,9.0,,,112706.0
1967-12-31,,9.0,,,113333.0
1968-01-31,,9.0,,,113333.0
1968-02-29,,9.0,,,113333.0
1968-03-31,,9.1,,,114440.0
1968-04-30,,9.1,,,114440.0
1968-05-31,,9.1,,,114440.0
1968-06-30,,9.1,,,116636.0
1968-07-31,,9.1,,,116636.0
1968-08-31,,9.1,,,116636.0
1968-09-30,,9.2,,,119546.0
1968-10-31,,9.2,,,119546.0
1968-11-30,,9.2,,,119546.0
1968-12-31,,9.2,,,121919.0
1969-01-31,,9.2,,,121919.0
1969-02-28,,9.2,,,121919.0
1969-03-31,,9.4,,,123369.0
1969-04-30,,9.4,,,123369.0
1969-05-31,,9.4,,,123369.0
1969-06-30,,9.4,,,124911.0
1969-07-31,,9.4,,,124911.0
1969-08-31,,9.4,,,124911.0
1969-09-30,,9.5,,,127028.0
1969-10-31,,9.5,,,127028.0
1969-11-30,,9.5,,,127028.0
1969-12-31,,9.5,,,130000.0
1970-01-31,,9.5,,,130000.0
1970-02-28,,9.5,,,130000.0
1970-03-31,,9.6,,,132682.0
1970-04-30,,9.6,,,132682.0
1970-05-31,,9.6,,,132682.0
1970-06-30,,9.7,,,134486.0
1970-07-31,,9.7,,,134486.0
1970-08-31,,9.7,,,134486.0
1970-09-30,,9.8,,,135389.0
1970-10-31,,9.8,,,135389.0
1970-11-30,,9.8,,,135389.0
1970-12-31,,10.0,,,135831.0
1971-01-31,,10.0,,,135831.0
1971-02-28,,10.0,,,135831.0
1971-03-31,,10.1,,,136975.0
1971-04-30,,10.1,,,136975.0
1971-05-31,,10.1,,,136975.0
1971-06-30,,10.2,,,139097.0
1971-07-31,,10.2,,,139097.0
1971-08-31,,10.2,,,139097.0
1971-09-30,,10.5,,,140695.0
1971-10-31,,10.5,,,140695.0
1971-11-30,,10.5,,,140695.0
1971-12-31,,10.7,,,141444.0
1972-01-31,,10.7,,,141444.0
1972-02-29,,10.7,,,141444.0
1972-03-31,,10.8,,,141618.0
1972-04-30,,10.8,,,141618.0
1972-05-31,,10.8,,,141618.0
1972-06-30,,10.9,,,141784.0
1972-07-31,,10.9,,,141784.0
1972-08-31,,10.9,,,141784.0
1972-09-30,,11.1,,,142970.0
1972-10-31,,11.1,,,142970.0
1972-11-30,,11.1,,,142970.0
1972-12-31,,11.2,,,144682.0
1973-01-31,,11.2,,,144682.0
1973-02-28,,11.2,,,144682.0
1973-03-31,,11.4,,,146385.0
1973-04-30,,11.4,,,146385.0
1973-05-31,,11.4,,,146385.0
1973-06-30,,11.8,,,148379.0
1973-07-31,,11.8,,,148379.0
1973-08-31,,11.8,,,148379.0
1973-09-30,,12.2,,,150486.0
1973-10-31,,12.2,,,150486.0
1973-11-30,,12.2,,,150486.0
1973-12-31,,12.6,,,151984.0
1974-01-31,,12.6,,,151984.0
1974-02-28,,12.6,,,151984.0
1974-03-31,,13.0,,,152352.0
1974-04-30,,13.0,,,152352.0
1974-05-31,,13.0,,,152352.0
1974-06-30,,13.5,,,151712.0
1974-07-31,,13.5,,,151712.0
1974-08-31,,13.5,,,151712.0
1974-09-30,,14.2,,,151113.0
1974-10-31,,14.2,,,151113.0
1974-11-30,,14.2,,,151113.0
1974-12-31,,14.7,,,152075.0
1975-01-31,,14.7,,,152075.0
1975-02-28,,14.7,,,152075.0
1975-03-31,,15.3,,,154104.0
